year,round,college_code,branch_code,category,gender,closing_rank
2023,1,OUCE,CSE,OC,General,5
2023,1,OUCE,CSE,OC,Female,5
2023,1,OUCE,CSE,BC-A,General,12
2023,1,OUCE,CSE,BC-A,Female,15
2023,1,OUCE,CSE,BC-B,General,10
2023,1,OUCE,CSE,BC-B,Female,12
2023,1,OUCE,CSE,BC-C,General,18
2023,1,OUCE,CSE,BC-C,Female,17
2023,1,OUCE,CSE,BC-D,General,10
2023,1,OUCE,CSE,BC-D,Female,11
2023,1,OUCE,CSE,BC-E,General,17
2023,1,OUCE,CSE,BC-E,Female,23
2023,1,OUCE,CSE,SC,General,23
2023,1,OUCE,CSE,SC,Female,30
2023,1,OUCE,CSE,ST,General,34
2023,1,OUCE,CSE,ST,Female,40
2023,1,OUCE,CSE,EWS,General,6
2023,1,OUCE,CSE,EWS,Female,8
2023,1,OUCE,CSM,OC,General,7
2023,1,OUCE,CSM,OC,Female,6
2023,1,OUCE,CSM,BC-A,General,18
2023,1,OUCE,CSM,BC-A,Female,20
2023,1,OUCE,CSM,BC-B,General,11
2023,1,OUCE,CSM,BC-B,Female,12
2023,1,OUCE,CSM,BC-C,General,22
2023,1,OUCE,CSM,BC-C,Female,22
2023,1,OUCE,CSM,BC-D,General,11
2023,1,OUCE,CSM,BC-D,Female,13
2023,1,OUCE,CSM,BC-E,General,25
2023,1,OUCE,CSM,BC-E,Female,28
2023,1,OUCE,CSM,SC,General,36
2023,1,OUCE,CSM,SC,Female,42
2023,1,OUCE,CSM,ST,General,40
2023,1,OUCE,CSM,ST,Female,54
2023,1,OUCE,CSM,EWS,General,8
2023,1,OUCE,CSM,EWS,Female,10
2023,1,OUCE,IT,OC,General,9
2023,1,OUCE,IT,OC,Female,10
2023,1,OUCE,IT,BC-A,General,22
2023,1,OUCE,IT,BC-A,Female,25
2023,1,OUCE,IT,BC-B,General,15
2023,1,OUCE,IT,BC-B,Female,15
2023,1,OUCE,IT,BC-C,General,22
2023,1,OUCE,IT,BC-C,Female,27
2023,1,OUCE,IT,BC-D,General,14
2023,1,OUCE,IT,BC-D,Female,18
2023,1,OUCE,IT,BC-E,General,25
2023,1,OUCE,IT,BC-E,Female,32
2023,1,OUCE,IT,SC,General,42
2023,1,OUCE,IT,SC,Female,47
2023,1,OUCE,IT,ST,General,47
2023,1,OUCE,IT,ST,Female,54
2023,1,OUCE,IT,EWS,General,9
2023,1,OUCE,IT,EWS,Female,14
2023,1,OUCE,ECE,OC,General,14
2023,1,OUCE,ECE,OC,Female,17
2023,1,OUCE,ECE,BC-A,General,30
2023,1,OUCE,ECE,BC-A,Female,44
2023,1,OUCE,ECE,BC-B,General,22
2023,1,OUCE,ECE,BC-B,Female,28
2023,1,OUCE,ECE,BC-C,General,47
2023,1,OUCE,ECE,BC-C,Female,51
2023,1,OUCE,ECE,BC-D,General,27
2023,1,OUCE,ECE,BC-D,Female,34
2023,1,OUCE,ECE,BC-E,General,53
2023,1,OUCE,ECE,BC-E,Female,62
2023,1,OUCE,ECE,SC,General,63
2023,1,OUCE,ECE,SC,Female,70
2023,1,OUCE,ECE,ST,General,77
2023,1,OUCE,ECE,ST,Female,92
2023,1,OUCE,ECE,EWS,General,16
2023,1,OUCE,ECE,EWS,Female,24
2023,1,OUCE,EEE,OC,General,30
2023,1,OUCE,EEE,OC,Female,31
2023,1,OUCE,EEE,BC-A,General,71
2023,1,OUCE,EEE,BC-A,Female,79
2023,1,OUCE,EEE,BC-B,General,55
2023,1,OUCE,EEE,BC-B,Female,58
2023,1,OUCE,EEE,BC-C,General,76
2023,1,OUCE,EEE,BC-C,Female,91
2023,1,OUCE,EEE,BC-D,General,56
2023,1,OUCE,EEE,BC-D,Female,61
2023,1,OUCE,EEE,BC-E,General,98
2023,1,OUCE,EEE,BC-E,Female,129
2023,1,OUCE,EEE,SC,General,133
2023,1,OUCE,EEE,SC,Female,151
2023,1,OUCE,EEE,ST,General,189
2023,1,OUCE,EEE,ST,Female,198
2023,1,OUCE,EEE,EWS,General,31
2023,1,OUCE,EEE,EWS,Female,37
2023,1,OUCE,CIV,OC,General,38
2023,1,OUCE,CIV,OC,Female,54
2023,1,OUCE,CIV,BC-A,General,119
2023,1,OUCE,CIV,BC-A,Female,128
2023,1,OUCE,CIV,BC-B,General,68
2023,1,OUCE,CIV,BC-B,Female,91
2023,1,OUCE,CIV,BC-C,General,151
2023,1,OUCE,CIV,BC-C,Female,159
2023,1,OUCE,CIV,BC-D,General,100
2023,1,OUCE,CIV,BC-D,Female,117
2023,1,OUCE,CIV,BC-E,General,131
2023,1,OUCE,CIV,BC-E,Female,197
2023,1,OUCE,CIV,SC,General,231
2023,1,OUCE,CIV,SC,Female,266
2023,1,OUCE,CIV,ST,General,245
2023,1,OUCE,CIV,ST,Female,330
2023,1,OUCE,CIV,EWS,General,50
2023,1,OUCE,CIV,EWS,Female,67
2023,1,OUCE,MEC,OC,General,54
2023,1,OUCE,MEC,OC,Female,74
2023,1,OUCE,MEC,BC-A,General,153
2023,1,OUCE,MEC,BC-A,Female,153
2023,1,OUCE,MEC,BC-B,General,99
2023,1,OUCE,MEC,BC-B,Female,107
2023,1,OUCE,MEC,BC-C,General,185
2023,1,OUCE,MEC,BC-C,Female,220
2023,1,OUCE,MEC,BC-D,General,103
2023,1,OUCE,MEC,BC-D,Female,137
2023,1,OUCE,MEC,BC-E,General,198
2023,1,OUCE,MEC,BC-E,Female,206
2023,1,OUCE,MEC,SC,General,296
2023,1,OUCE,MEC,SC,Female,333
2023,1,OUCE,MEC,ST,General,357
2023,1,OUCE,MEC,ST,Female,399
2023,1,OUCE,MEC,EWS,General,60
2023,1,OUCE,MEC,EWS,Female,81
2023,1,JNTH,CSE,OC,General,4
2023,1,JNTH,CSE,OC,Female,7
2023,1,JNTH,CSE,BC-A,General,15
2023,1,JNTH,CSE,BC-A,Female,18
2023,1,JNTH,CSE,BC-B,General,9
2023,1,JNTH,CSE,BC-B,Female,10
2023,1,JNTH,CSE,BC-C,General,18
2023,1,JNTH,CSE,BC-C,Female,22
2023,1,JNTH,CSE,BC-D,General,9
2023,1,JNTH,CSE,BC-D,Female,13
2023,1,JNTH,CSE,BC-E,General,16
2023,1,JNTH,CSE,BC-E,Female,24
2023,1,JNTH,CSE,SC,General,29
2023,1,JNTH,CSE,SC,Female,29
2023,1,JNTH,CSE,ST,General,32
2023,1,JNTH,CSE,ST,Female,40
2023,1,JNTH,CSE,EWS,General,6
2023,1,JNTH,CSE,EWS,Female,9
2023,1,JNTH,CSM,OC,General,6
2023,1,JNTH,CSM,OC,Female,7
2023,1,JNTH,CSM,BC-A,General,16
2023,1,JNTH,CSM,BC-A,Female,21
2023,1,JNTH,CSM,BC-B,General,10
2023,1,JNTH,CSM,BC-B,Female,13
2023,1,JNTH,CSM,BC-C,General,22
2023,1,JNTH,CSM,BC-C,Female,24
2023,1,JNTH,CSM,BC-D,General,12
2023,1,JNTH,CSM,BC-D,Female,15
2023,1,JNTH,CSM,BC-E,General,20
2023,1,JNTH,CSM,BC-E,Female,25
2023,1,JNTH,CSM,SC,General,31
2023,1,JNTH,CSM,SC,Female,40
2023,1,JNTH,CSM,ST,General,36
2023,1,JNTH,CSM,ST,Female,43
2023,1,JNTH,CSM,EWS,General,7
2023,1,JNTH,CSM,EWS,Female,10
2023,1,JNTH,IT,OC,General,7
2023,1,JNTH,IT,OC,Female,11
2023,1,JNTH,IT,BC-A,General,22
2023,1,JNTH,IT,BC-A,Female,21
2023,1,JNTH,IT,BC-B,General,13
2023,1,JNTH,IT,BC-B,Female,18
2023,1,JNTH,IT,BC-C,General,22
2023,1,JNTH,IT,BC-C,Female,26
2023,1,JNTH,IT,BC-D,General,18
2023,1,JNTH,IT,BC-D,Female,20
2023,1,JNTH,IT,BC-E,General,28
2023,1,JNTH,IT,BC-E,Female,37
2023,1,JNTH,IT,SC,General,45
2023,1,JNTH,IT,SC,Female,44
2023,1,JNTH,IT,ST,General,43
2023,1,JNTH,IT,ST,Female,58
2023,1,JNTH,IT,EWS,General,10
2023,1,JNTH,IT,EWS,Female,12
2023,1,JNTH,ECE,OC,General,14
2023,1,JNTH,ECE,OC,Female,17
2023,1,JNTH,ECE,BC-A,General,39
2023,1,JNTH,ECE,BC-A,Female,36
2023,1,JNTH,ECE,BC-B,General,24
2023,1,JNTH,ECE,BC-B,Female,28
2023,1,JNTH,ECE,BC-C,General,45
2023,1,JNTH,ECE,BC-C,Female,45
2023,1,JNTH,ECE,BC-D,General,24
2023,1,JNTH,ECE,BC-D,Female,32
2023,1,JNTH,ECE,BC-E,General,46
2023,1,JNTH,ECE,BC-E,Female,53
2023,1,JNTH,ECE,SC,General,63
2023,1,JNTH,ECE,SC,Female,92
2023,1,JNTH,ECE,ST,General,81
2023,1,JNTH,ECE,ST,Female,109
2023,1,JNTH,ECE,EWS,General,18
2023,1,JNTH,ECE,EWS,Female,18
2023,1,JNTH,EEE,OC,General,31
2023,1,JNTH,EEE,OC,Female,36
2023,1,JNTH,EEE,BC-A,General,78
2023,1,JNTH,EEE,BC-A,Female,93
2023,1,JNTH,EEE,BC-B,General,54
2023,1,JNTH,EEE,BC-B,Female,53
2023,1,JNTH,EEE,BC-C,General,82
2023,1,JNTH,EEE,BC-C,Female,90
2023,1,JNTH,EEE,BC-D,General,53
2023,1,JNTH,EEE,BC-D,Female,57
2023,1,JNTH,EEE,BC-E,General,92
2023,1,JNTH,EEE,BC-E,Female,132
2023,1,JNTH,EEE,SC,General,127
2023,1,JNTH,EEE,SC,Female,179
2023,1,JNTH,EEE,ST,General,162
2023,1,JNTH,EEE,ST,Female,193
2023,1,JNTH,EEE,EWS,General,40
2023,1,JNTH,EEE,EWS,Female,49
2023,1,JNTH,CIV,OC,General,44
2023,1,JNTH,CIV,OC,Female,56
2023,1,JNTH,CIV,BC-A,General,98
2023,1,JNTH,CIV,BC-A,Female,123
2023,1,JNTH,CIV,BC-B,General,90
2023,1,JNTH,CIV,BC-B,Female,97
2023,1,JNTH,CIV,BC-C,General,133
2023,1,JNTH,CIV,BC-C,Female,170
2023,1,JNTH,CIV,BC-D,General,76
2023,1,JNTH,CIV,BC-D,Female,108
2023,1,JNTH,CIV,BC-E,General,154
2023,1,JNTH,CIV,BC-E,Female,204
2023,1,JNTH,CIV,SC,General,197
2023,1,JNTH,CIV,SC,Female,300
2023,1,JNTH,CIV,ST,General,230
2023,1,JNTH,CIV,ST,Female,286
2023,1,JNTH,CIV,EWS,General,58
2023,1,JNTH,CIV,EWS,Female,72
2023,1,JNTH,MEC,OC,General,50
2023,1,JNTH,MEC,OC,Female,58
2023,1,JNTH,MEC,BC-A,General,153
2023,1,JNTH,MEC,BC-A,Female,152
2023,1,JNTH,MEC,BC-B,General,101
2023,1,JNTH,MEC,BC-B,Female,123
2023,1,JNTH,MEC,BC-C,General,161
2023,1,JNTH,MEC,BC-C,Female,202
2023,1,JNTH,MEC,BC-D,General,110
2023,1,JNTH,MEC,BC-D,Female,149
2023,1,JNTH,MEC,BC-E,General,175
2023,1,JNTH,MEC,BC-E,Female,245
2023,1,JNTH,MEC,SC,General,253
2023,1,JNTH,MEC,SC,Female,319
2023,1,JNTH,MEC,ST,General,346
2023,1,JNTH,MEC,ST,Female,372
2023,1,JNTH,MEC,EWS,General,67
2023,1,JNTH,MEC,EWS,Female,92
2023,1,CBIT,CSE,OC,General,5
2023,1,CBIT,CSE,OC,Female,7
2023,1,CBIT,CSE,BC-A,General,18
2023,1,CBIT,CSE,BC-A,Female,22
2023,1,CBIT,CSE,BC-B,General,10
2023,1,CBIT,CSE,BC-B,Female,13
2023,1,CBIT,CSE,BC-C,General,18
2023,1,CBIT,CSE,BC-C,Female,26
2023,1,CBIT,CSE,BC-D,General,14
2023,1,CBIT,CSE,BC-D,Female,17
2023,1,CBIT,CSE,BC-E,General,22
2023,1,CBIT,CSE,BC-E,Female,24
