year,college_code,branch_code,category,gender,predicted_closing_rank,confidence_score,methodology
2026,OUCE,CSE,OC,General,5,95.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,OC,Female,6,84.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-A,General,15,80.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-A,Female,16,84.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-B,General,10,82.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-B,Female,12,81.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-C,General,18,89.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-C,Female,21,74.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-D,General,12,89.6,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-D,Female,14,88.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-E,General,20,80.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,BC-E,Female,25,81.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,SC,General,31,83.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,SC,Female,32,87.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,ST,General,32,77.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,ST,Female,40,80.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,EWS,General,7,86.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSE,EWS,Female,9,88.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,OC,General,7,85.9,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,OC,Female,7,70.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-A,General,18,89.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-A,Female,18,81.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-B,General,12,76.6,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-B,Female,14,84.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-C,General,18,81.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-C,Female,26,80.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-D,General,14,88.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-D,Female,16,89.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-E,General,23,78.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,BC-E,Female,31,89.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,SC,General,34,93.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,SC,Female,40,80.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,ST,General,37,88.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,ST,Female,53,85.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,EWS,General,8,83.9,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,CSM,EWS,Female,9,85.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,OC,General,8,87.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,OC,Female,10,79.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-A,General,22,87.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-A,Female,26,87.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-B,General,15,76.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-B,Female,18,76.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-C,General,25,82.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-C,Female,35,90.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-D,General,16,84.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-D,Female,22,88.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-E,General,33,81.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,BC-E,Female,38,86.3,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,SC,General,44,90.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,SC,Female,50,80.4,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,ST,General,51,88.6,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,ST,Female,67,87.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,EWS,General,10,88.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,IT,EWS,Female,12,79.6,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,OC,General,13,80.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,OC,Female,17,81.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-A,General,39,90.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-A,Female,46,77.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-B,General,26,85.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-B,Female,34,92.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-C,General,45,89.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-C,Female,55,82.7,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-D,General,32,89.9,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-D,Female,32,84.0,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-E,General,49,91.6,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,BC-E,Female,59,83.5,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,SC,General,83,84.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,SC,Female,90,78.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,ST,General,84,87.1,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,ST,Female,107,76.8,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
2026,OUCE,ECE,EWS,General,18,79.2,Weighted Historical Average (WHA) using 2023-2025 Final Phase Data
